# kt ab 0.4_0.5 0.5_0.6 0.6_0.7 0.7_0.8 0.8_0.9 0.9_1.0 1.0_1.1 1.1_1.2 1.2_1.3 1.3_1.5 1.5_1.8 1.8_2.2 2.2_2.8 2.8_3.5 3.5_4.5 4.5_6.2 6.2_7.0 7.0_10.0
0.220711  0.473684  14.6576 19.4017 16.4836 11.2953 7.0937 3.2001 1.5240 0.7803 0.3638 0.7181 0.2246 0.0609 0.0049 0.0003 0.0000 0.0000 0.0000 0.0000 
0.220711  0.552632  16.5860 22.3185 19.0309 13.0206 8.1795 3.6825 1.7342 0.8788 0.4121 0.8226 0.2552 0.0698 0.0056 0.0003 0.0000 0.0000 0.0000 0.0000 
0.220711  0.631579  18.5143 25.2353 21.5782 14.7458 9.2653 4.1649 1.9444 0.9773 0.4603 0.9270 0.2858 0.0788 0.0063 0.0003 0.0000 0.0000 0.0000 0.0000 
0.220711  0.710526  20.4426 28.1520 24.1255 16.4710 10.3512 4.6473 2.1547 1.0758 0.5085 1.0315 0.3163 0.0878 0.0070 0.0004 0.0000 0.0000 0.0000 0.0000 
0.220711  0.789474  22.3710 31.0688 26.6728 18.1962 11.4370 5.1296 2.3649 1.1743 0.5567 1.1360 0.3469 0.0967 0.0077 0.0004 0.0000 0.0000 0.0000 0.0000 
0.220711  0.868421  24.2993 33.9856 29.2200 19.9214 12.5228 5.6120 2.5751 1.2728 0.6049 1.2405 0.3774 0.1057 0.0084 0.0004 0.0000 0.0000 0.0000 0.0000 
0.220711  0.947368  26.2276 36.9023 31.7673 21.6466 13.6087 6.0944 2.7853 1.3713 0.6531 1.3449 0.4080 0.1147 0.0091 0.0005 0.0000 0.0000 0.0000 0.0000 
0.220711  1.02632  28.1561 39.8193 34.3147 23.3719 14.6946 6.5768 2.9955 1.4698 0.7013 1.4494 0.4385 0.1236 0.0097 0.0005 0.0000 0.0000 0.0000 0.0000 
0.220711  1.10526  30.0843 42.7358 36.8617 25.0969 15.7803 7.0591 3.2057 1.5682 0.7495 1.5539 0.4691 0.1326 0.0104 0.0005 0.0000 0.0000 0.0000 0.0000 
0.220711  1.18421  32.0127 45.6527 39.4091 26.8222 16.8662 7.5415 3.4159 1.6667 0.7977 1.6584 0.4997 0.1416 0.0111 0.0006 0.0000 0.0000 0.0000 0.0000 
0.220711  1.26316  33.9411 48.5695 41.9564 28.5475 17.9520 8.0239 3.6261 1.7652 0.8460 1.7628 0.5302 0.1505 0.0118 0.0006 0.0000 0.0000 0.0000 0.0000 
0.220711  1.34211  35.8695 51.4864 44.5038 30.2727 19.0379 8.5063 3.8364 1.8637 0.8942 1.8673 0.5608 0.1595 0.0125 0.0007 0.0000 0.0000 0.0000 0.0000 
0.220711  1.42105  37.7976 54.4029 47.0508 31.9978 20.1236 8.9886 4.0466 1.9622 0.9424 1.9718 0.5913 0.1685 0.0132 0.0007 0.0000 0.0000 0.0000 0.0000 
0.220711  1.5  39.7260 57.3198 49.5982 33.7230 21.2095 9.4710 4.2568 2.0607 0.9906 2.0763 0.6219 0.1774 0.0139 0.0007 0.0000 0.0000 0.0000 0.0000 
0.243567  0  3.5974 2.3162 1.5319 1.2461 0.7880 0.4333 0.3854 0.2866 0.1192 0.1533 0.0764 0.0150 0.0021 0.0001 0.0000 0.0000 0.0000 0.0000 
0.243567  0.0789474  5.4335 4.9457 4.3538 3.6518 2.2948 1.0754 0.7064 0.4307 0.1890 0.3122 0.1255 0.0316 0.0036 0.0002 0.0000 0.0000 0.0000 0.0000 
0.243567  0.157895  7.2696 7.5753 7.1757 6.0575 3.8015 1.7175 1.0274 0.5748 0.2588 0.4711 0.1746 0.0481 0.0052 0.0003 0.0000 0.0000 0.0000 0.0000 
